"","speccode","shift_max20_P.1.3","shift_min20_P.1.3","shift_all_P.1.3","shift_max20_P.1.2","shift_min20_P.1.2","shift_all_P.1.2","shift_max20_P.2.3","shift_min20_P.2.3","shift_all_P.2.3","nrecord_P.1","nrecord_P.2","nrecord_P.3"
"1",1,-0.0179915545667413,-0.0601044867088376,-0.0970732969531412,0,-0.111727858728152,-0.164166435355725,-0.0179915545667413,0.0516233720193142,0.0670931384025835,310,379,345
"2",2,-0.0114026201539517,0.378605478500639,0.006393425776821,0.0091324387368843,0.187104634216389,0.0961465743478698,-0.020535058890836,0.191500844284249,-0.0897531485710488,212,199,218
"3",6,0.336523852831903,-0.0832657404032346,0.0171905645269632,0.0743357064602819,0.175153495332204,-0.0381940903842519,0.262188146371621,-0.258419235735438,0.0553846549112151,1366,1275,1685
"4",7,-0.0723528636918829,-0.342584402399602,-0.143604111236982,0.0792061333554912,-0.144117848630557,-0.0329357261917451,-0.151558997047374,-0.198466553769045,-0.110668385045237,762,892,1001
"5",12,0.00415546950607393,-0.0218503753354398,-0.236713365405784,0.0266823894902544,-0.0143820695485246,-0.117421689370978,-0.0225269199841804,-0.00746830578691515,-0.119291676034806,556,622,536
"6",26,-1.01553318498893,-0.0779601822911076,-2.33641804691857,-0.12570755277806,-0.0368573328746109,-1.18521552012314,-0.889825632210865,-0.0411028494164967,-1.15120252679544,403,971,534
"7",27,-0.00921292897302806,-0.0214590750031007,-0.153033319163818,0.0266823894902544,-0.0131917173880254,0.0427815118594452,-0.0358953184632824,-0.00826735761507535,-0.195814831023263,505,548,463
"8",39,-0.120162064002173,-0.0914855091692317,-0.314915778125858,0.887679612802678,-0.139713704340153,-0.288887617660372,-1.00784167680485,0.0482281951709211,-0.0260281604654864,1687,2335,1936
"9",46,0.549002933762978,0.0241759526941436,0.0722340217214636,0.0946083817278662,-0.0104678894841541,-0.0202480276914301,0.454394552035112,0.0346438421782977,0.0924820494128937,1623,1579,1770
"10",53,2.1444737342816,-0.805820245237896,-0.845330742935964,0.847162068819891,-0.570166013166116,-1.08485945582466,1.29731166546171,-0.235654232071781,0.239528712888692,200,718,1667
"11",55,1.2522343812682,-0.429136674102828,0.438899494934404,0.691844110649548,-0.24554471752127,0.0262497447198484,0.560390270618655,-0.183591956581559,0.412649750214555,681,1196,1790
"12",61,-0.305556278542333,-0.035114703047185,-0.463783331727797,-0.332332180242389,-0.000324837408001599,-0.401835588005738,0.0267759017000557,-0.0347898656391834,-0.0619477437220581,806,959,1142
"13",64,0.796025851712294,-0.290944085354909,-0.397405895364358,0.408645486458603,-0.343191032853632,-0.429548673898303,0.387380365253691,0.0522469474987233,0.0321427785339452,283,360,358
"14",66,1.72087481163694,-0.565905371984485,-0.133513367783529,1.01882815673321,-0.273470235942973,-0.14252202010082,0.702046654903725,-0.292435136041512,0.00900865231729142,158,357,713
"15",68,0.758521574305618,-0.0128940395473549,0.263284330616912,0.466670562840989,0.179331289348696,0.221290743913805,0.29185101146463,-0.19222532889605,0.0419935867031072,1376,1147,1187
"16",69,-0.0177585693837656,-0.00911508628202995,-0.00779952726637134,-0.0087802580775147,0.0250965911047558,-0.00804240541318535,-0.00897831130625093,-0.0342116773867858,0.000242878146814007,2630,2596,2663
"17",71,0.00671477791041752,0.216536144090846,-0.650427689795741,-0.293539324679301,-0.0694023257542398,-0.503876179905554,0.300254102589719,0.285938469845085,-0.146551509890188,86,85,66
"18",72,2.1328603387775,0.0215149194283484,0.624271982439851,1.49681583895497,0.31071031306594,0.720948362810141,0.636044499822532,-0.289195393637591,-0.0966763803702904,136,138,199
"19",74,0.760189922106711,-0.0149688375746848,0.0442838159467414,0.849959059406359,-0.044052975463643,0.23657090685176,-0.0897691372996476,0.0290841378889581,-0.192287090905019,520,454,511
"20",76,-0.512837086511695,-0.00239085550020945,-0.487623194231936,0.271275887247342,-0.0159157130464465,-0.211705242980713,-0.784112973759036,0.013524857546237,-0.275917951251223,512,511,318
"21",79,0.783150991707807,-0.268750282411681,-0.122053272160564,0.203567151978781,-0.198751075404317,-0.191456008820126,0.579583839729025,-0.0699992070073634,0.069402736659562,1290,1484,1714
"22",81,-0.0401997058644312,-1.4325701628804,-0.255396119312088,-0.0225797973792297,-2.55330878344296,-0.23205339053019,-0.0176199084852016,1.12073862056256,-0.0233427287818984,460,488,465
